Previous_Semester_GPA,Midterm_Score_Average,Assignment_Score_Average,Twelfth_Grade_Percentage,Study_Hours_Per_Day,Tenth_Grade_Percentage,Attendance_Percentage,Number_of_Backlogs,Mental_Stress_Score,Distance_From_Campus_KM,CGPA
8.1,77.6,75.97,100,4.7,98.96,95.31,0,2,9.76,7.5
7.33,69.51,69.73,85.15,4.37,87.13,73.45,0,7,6.65,6.55
8.28,85.97,76.07,74.03,6.4,79.34,90.75,0,7,12.51,7.73
9.33,87.04,88.12,73.5,7.57,99.14,78.81,0,9,4.09,8.05
7.22,63.58,65.11,82.92,5.87,87.09,81.73,0,10,5.12,6.65
7.22,67.32,73.02,71.78,6.52,83.74,85.48,1,2,3.08,6.87
9.4,84.69,81.21,91.28,4.07,95.11,83.81,0,2,10.48,8.11
8.42,67.6,73.36,87.78,4.75,92.38,68.24,0,7,14.69,7.69
6.94,68.84,74.75,86.45,7.47,88.99,98.82,0,1,9.36,6.88
8.15,81.15,82.72,80.43,5.55,83.24,96.34,0,2,3.89,7.36
6.94,67.44,61.38,77.5,4.02,85.95,83.54,0,4,0.26,6.73
6.94,63.6,67.57,77.61,4.57,91.81,94.34,0,2,0.68,6.76
7.79,78.68,83.56,87.59,6.57,85.29,81.02,0,9,30.35,7.93
5.2,51.36,64.95,87.83,6.75,86.03,75.18,4,1,12.25,5.15
5.43,60.33,50.46,82.85,2.82,81.6,85.54,0,6,6.82,5.41
6.83,71.14,65.1,73.74,5.23,94.51,73.31,0,3,5.03,6.94
6.28,56.51,61.05,92.73,4.48,83.77,91.09,0,10,4.94,5.96
7.88,64.21,74.35,81.52,4.37,91.91,77.97,0,6,19.37,6.75
6.41,66.17,67.79,87.13,7.16,88.23,69,0,5,1.72,6.09
5.81,53.45,53.61,89.44,4.02,83.54,48.73,0,4,5.13,5.38
9.26,78.74,83.68,87.12,3.35,100,83.73,3,5,1.99,7.33
7.23,59.93,65.37,82.41,2.87,89.01,88.21,1,9,0.07,6.02
7.58,78.74,78.22,92.48,4.15,78.58,98.38,0,6,8.51,7.54
5.79,51.67,58.87,91.72,3.03,100,67.65,0,8,4.46,5.25
6.85,67.83,68.73,88.18,2.77,97.22,95.09,2,5,0.68,6.6
7.63,77.53,68.3,84.43,2.72,84.13,80.13,5,7,0.04,5.85
6.12,57.52,60.05,92.7,2.84,88.72,84.38,1,3,2.49,5.48
7.95,79.11,76.52,79.7,2.98,94.81,85.06,0,6,26.05,7.41
6.78,64.89,69.67,89.14,5.3,92.15,84.9,0,6,8.61,6.41
7.15,61.19,48.14,89.76,0.58,95.7,64.67,0,9,4.55,6.02
6.78,67.53,73.01,94.26,3.1,88.95,92.16,0,8,2.77,6.26
9.72,90.9,82.61,90.61,4.3,84.74,93.35,0,7,6.82,8.31
7.48,79.99,79.08,83.14,6.8,89.06,94.57,0,7,4.69,7.18
6.23,62.92,68.6,96.56,4.01,79.49,89.87,4,2,21,5.86
8.49,68.2,75.07,93.61,4.19,85.99,82.93,0,7,3.39,7.43
6.03,57.94,61.55,74.98,4.32,88.39,70.32,0,7,3.76,5.43
7.75,59.4,63.6,90.72,0.85,91.22,89.49,1,9,12.26,6.35
5.15,58.7,58.05,88.92,5.82,100,85.39,0,5,14.76,5.88
5.91,64.57,68.42,96,5.73,80.15,84.98,0,5,15.92,6.35
7.74,74,77.74,95.61,6.13,100,89.41,0,6,16.26,6.99
8.39,78.09,89.19,86.93,9.51,91.5,84.55,0,10,6.33,8.07
7.71,59.55,66.82,79.5,1.9,68.98,80.56,0,8,0.82,7.03
7.36,61.35,65.37,83.2,1.52,98.03,73.2,1,1,1.92,5.85
7.14,69.02,73.14,89.96,5.91,87.24,84.94,5,8,11.25,6.08
5.73,57.62,59.45,87.5,3.83,100,99.73,0,8,14.52,5.77
6.64,60.21,59.97,90.88,2.53,83.15,73.97,0,9,5.31,6.15
6.95,69.44,61.17,95.03,3.93,84.92,95.03,0,3,15.1,6.75
8.77,77.39,75.32,88.22,3.26,94.28,92.15,0,1,4.7,7.57
7.91,78.44,71.8,85.41,7.95,74.57,67.88,0,10,2.46,7.26
5.38,62.73,74.04,80.14,9.02,82.34,91.09,0,1,4.91,6.17
7.89,69.79,76.57,62.08,1.23,75.9,85.18,0,9,13.81,6.82
7.04,59.07,67.83,83.28,1.55,80.19,84.17,0,1,0.43,6.41
6.69,63.22,66.89,86.07,2.98,100,100,1,10,2.18,6.16
8.23,65.36,76.75,77.78,3.12,80.23,94.41,0,7,1.57,7.06
8.74,65.97,70.99,92.04,2.95,82.06,75.72,0,3,2.87,7.64
8.62,72.99,82.81,79.49,4.11,65.47,91.4,0,10,2.95,7.72
6.49,62.77,63.65,85.7,3.61,82.85,75.83,4,10,4.01,5.61
7.13,58.16,55.83,82.79,1.79,63.32,76.25,1,2,3.79,6.13
7.9,55.74,75.27,100,2.45,90.35,86.6,1,6,32.32,6.99
8.67,76.14,85.74,99.8,7.59,94.21,96.74,0,10,8.7,8.15
6.92,61.88,69.76,91.84,3.79,91.54,70.13,0,6,10.63,6.29
7.28,62.87,64.02,85.92,3.68,75.83,79.96,0,9,25.44,6.77
